source_id,job_title,job_description,company_name,mid_salary_sgd,pay_period,country_location,city_location
1,Machine Learning,"Requirements / Responsibilities:

Should have 6+ years of experience as Data Scientist
Should have experience in Data Analytics, Big Data, Machine Learning, AI and dashboard creation",LumaCore Data,9541.67,Monthly,China,Shenzhen
2,Full Stack Developer,looking well-rounded full-stack developer work new cutting-edge system provides industry-leading healthcare-focused workflow clinical trial including recruitment study conduct u elligo health research offer platform brings clinical research physician practice accelerating development new pharmaceutical biotechnology medical device product therapy go direct™ approach us state-of-the-art elligo direct™ technology compliantly leverage current electronic health record data applies proprietary prescreening process match protocol-eligible patient participation clinical study mission support health care provider providing personnel procedure technology infrastructure clinical research enabling patient participate research remaining care trusted physician job responsibility role developing testing supporting new system primarily mean stack mongodb angularjs express node j supporting tool component built java postgres redis rabbitmq elasticsearch writing executing unit test code helping qa write integration system test participating sprint planning code review user platform elligo staff physician partner since working alongside user need work understand develop solution problem encounter required skill qualification excited prospect transforming clinical trial workflow experienced 3+ year developing web application fluent javascript node j html cs experienced database preferably including nosql comfortable writing unit test experienced working full engineering qa team excellent debugging troubleshooting excellent meeting deliverable timeline set preferred qualification prefer worked sensitive secure data like health record deployed cloud service provider developed dashboard report practiced agile software development worked responsive web framework written sql query worked java,InnoWave Networks,5750.0,Monthly,Singapore,Singapore
3,Database Administrator,job description ? ace initiative site administrator ace initiative site administrator ha responsibility coordinating comprehensive ace initiative service dr. maya angelou community high school includes working school personnel educare staff insure quality deliverable service student school admin/staff parent essential duty responsibility ace initiative site administration coordinate implement develops ace initiative service communication technology school responsible meet goal set ace initiative grant maintain grant compliance work school admin coordinate daily ace initiative program may include evening weekend activity represents educare school community including student parent staff faculty community partner ha full knowledge ace initiative grant requirement ha full knowledge program service offered school partnership submits monthly calendar daily schedule ace initiative program activity develops ace advisory lesson grade level available student teacher admin school day school support school site coordinator needed educare auxiliary program work community outreach organization bring additional resource service program campus counsel advises student needed help resolve problem may impede participation ace program attends professional development program related meeting attends educare staff meeting duty assigned 2\ record maintenance data collection collect daily attendance record ace initiative program activity daily routine responsible distributing collecting student intake form ace initiative program participant provides weekly report program outcome data additional data required grant keep note program activity success challenge occur distributes collect social emotional learning sel survey student parent teacher salary $ 25 $ 28 hour doe 40 hour week,Solstice Technologies,61500.0,Annual,Singapore,Singapore
4,JavaScript Developer,"We are looking for a Full-stack Javascript Developer to help us build medium to large-scale, high performance web applications. Your primary focus will be the development of all server-side logic, definition and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for developing front-end elements using various Javascript frameworks like React.js, Angular.js, Node.js. Therefore, hands-on experience on front-end technologies (including HTML, CSS) from ground up is critical as well.

Skill Requirements:
Know-how of frontend technologies such as HTML5, CSS3 (and understanding of pre-processors like SASS/SCSS), JS and jQuery.
Knowledge of JS frameworks (atleast one of the following):
Angular 4/5
Node.js
React.js
Vue.js
Strong (or intermediate) proficiency with web related protocols and architectures (MVC, REST APIs, JSON, HTTP)
Excellent understanding of OOP patterns and methodologies.
Experience with responsive web design and development.
Experience with cross-browser compatibility.
Hands-on experience in frontend Javascript development to at-least ES5/ES6 specification is a plus.
Experience in developing/building SPAs to medium to large scale web applications in Angular, React is a plus.
Understanding of importance and implementation of accessibility and security compliance in web applications is a plus.
Strong customer focused approach, excellent problem solving and analytical skills.",NexaBridge Labs,5750.0,Monthly,Singapore,Singapore
5,Backend Developer,"Backend Developer having 2-3 years of experience.
Familiar with C Sharp (C#), C++, Unity 3D, and Cloud Services.
Follow approved life cycle methodologies and perform program coding and testing.
Implement and Integrate databases.
Part-time hours: 32-35 per week

Expected Start Date: 12/10/2020

Job Types: Full-time, Part-time

Experience:
total work: 2 years (Required)
Application Question:
Are you familiar with the backend developed in Unity?
Work Remotely:
Yes",BluePeak Innovations,90500.0,Annual,China,Beijing
6,DevOps Engineer,"17791 DevOps Engineer II (Open)

Position Type:

Full time

Location(s):

IN.Bangalore.Office1

Position Details:

Overview
This job is responsible/accountable for streamlining offerings to CSGs end customers.
They take solutions from development and ensure they are operationally sound prior to rolling into production.
Products are evaluated and prepared for installation, configuration, monitoring, diagnostics, and process / procedure to ensure minimal impact as they are released.
Production optimization from a personnel perspective is a critical point and leveraging technology to ensure solutions adhere to customers SLA requirements for availability.
Job Description:
The incumbent is responsible for providing key support for their focused product / solution area to internal and external resources.
Support and maintenance of the customers production and non-production environments - including on-call support / work variety of shifts to include weekends, holidays or extra shifts/extended shifts or as needed.
Work with L1/L2/L3/L4 support and operations teams to ensure successful deployment and operation of their application and ongoing operational activities
Independently building and testing reliable and well-tested solutions and once released troubleshoot any issues, actively seeking out problems and solving them.
Support the build and deployment infrastructure used by our delivery teams
Respond to high severity production issues escalated by our operations teams along with root cause analysis
Test driven development, Agile development, continuous integration, continuous deployment, DevOps automation
Create seamless/automated build scripts used for release management across all environments.
Contribute to the DevOps community by way of good & best practices and support mentoring/coaching and training the wider team
Comprehend customers security and data policies and ensure adherence
Liason with cross functional teams to investigate customer issues and drive early resolution.
Prepare, validate and Share the data which are required to cleanup/correct/reconcile as a part of fix
Experience
3-5 years of related experience in Technical Analyst or equivalent role or 2-3 years in computer engineering or equivalent role
Some experience with a broad range of IT technologies: Network, Storage, Virtualization, Compute, Database, Automation, SDLC, and distributed transactions in high volume managed services or billing services provider environments
Additional Job Description
Under limited supervision, performs installations, configurations, and upgrades to CSG products.
Hands on experience in either 2 of the languages Python, C# and Shell/Powershell . Expertise in
one of this is mandatory
OS experience Windows and Linux
Experience in using monitoring tools
Basic understanding and working knowledge of CI/CD tools like Chef, Jenkins etc
Ability to troubleshoot issues and provide solution
Validation of installation and configuration processes and procedures.
Active participation/internship with the other teams involved in delivery (Development & Project Management).
Troubleshooting and bug fixing for solutions once in place.
Participate in the on-call rotation under the supervision of a senior team member
Releases & Promotions:
Under limited supervision, support the development team in releases and promotions (including core upgrades) from development through to production, as defined by Best Practices.
Validation of release and promotion processes and procedures.
Troubleshooting and bug fixing for solutions once in place.
Backups & Recovery:
With limited supervision, establishes and maintains system and database backup and recovery policies and procedures.
Solution & New Product Evaluation:
Assists in the identification and analysis of the internal/external clients technical requirements.
Under limited supervision, gathers information from customers on technical requirements.
Under limited supervision, provides technical input and consultation for application deployment.
Third Party & Open Source:
Under limited supervision, performs installation, configuration, and upgrades to any supporting
third-party software used in supporting CSG products.
Active research and sandbox trials of open source solutions.
Execute third party/open source compilation for requisite software.
Pull source and monitor version modifications in association with key software.
Familiarization of key third party products /open source projects leveraged by CSG solutions.
Communication & Documentation:
Effectively communicates with customers and colleagues alike.
Produces and maintains documentation on projects and research as assigned.
Creates wiki documentation for solution delivery and support, as well as, automation efforts.
Responsibility

% of Time
Administration of infrastructure systems (upgrade, maintain, troubleshoot) such as BigIP, CVP framework, BladeLogic, Automation, ADDM, CSP/IPF 20%
Serves as subject matter expert for matters relating to system and application architecture 20%
3rd tier support for operational production issues 40%
Participates in process improvement efforts within the larger technology organization 20%
Regular and reliable attendance is required.
Ongoing
Incumbent is accountable for professional working behavior to include; building and maintaining constructive working relationships, implementing proactive and concise communication, acting as a resource to colleagues, and engaging in collaborative thinking and problem solving while demonstrating CSGs core competencies and values.
Typical Interactions/Relationships
Internal Some contact with developers, dbas, operations, Systems Administrators, Global Platform Architecture.
Knowledge, Skills and Abilities
Familiarity with practical agile development methodologies.
Familiarity with required coding (C #) and scripting languages (Shell Scripting).
General knowledge of database architecture and function.
Demonstrates a great deal of self-drive and initiative in a highly independent environment.
Knowledge of programming and systems analysis procedures.
Strong oral and written/editing skills.
Good interpersonal skills.
Knowledge of Linux Shell and Windows PowerShell scripting.
Works with some independence, yet most feature level work assigned by lead. Knows when to
seek guidance from teammates or lead.
Balances task load to deliver in a timely manner.
Involved in story creation and iterative planning.
Demonstrates solid skill and is working to gain additional experience
3-5 years of experience in application deployment and support.
Good Understanding of OS, Network, Database and application monitoring tools.
Demonstrates creativity when researching or solving a situation.
Knowledge of systems security and PCI compliance.
Bachelors Degree or equivalent experience.
Should have worked on Agile projects and should understand
C#
PowerShell/ Shell Scripting
Database Knowledge
Python or pearl will be added advantage",CloudHarbor Labs,60000.0,Annual,China,Beijing
7,PHP Developer,"Job Responsibilities: PHP Developer*
· PHP, MVC, SQL, AWS, AWS Server,

· Familiarity with API Creation and RESTful services

· Translation of designer mock-ups and wireframes into front-end code

· Strong fundamental knowledge in core PHP

· Should be well versed with front end design and coding

· Database administration and management of a hosting environment

· Unit testing

· Version control with GitHub

· 2 years experience in building and maintaining high level applications

Job Type: Full-time

Salary: ₹12,814.00 - ₹30,673.00 per month

Experience:
software development PHP API Creation: 2 years (Required)
total work php development : 2 years (Required)
Education:
Bachelor's (Required)
Licence:
Core PHP (Preferred)
Programming Languages needed:
Python (Required)
PHP (Required)
Work Remotely:
No",WestGate Systems,84000.0,Annual,China,Chengdu
8,Machine Learning,"__
**
PDI provides services across all verticals and continues to grow as a leader across every sector of data management, from Big Data to Data Science. Our team’s talent is what sets us apart from our competitors and we continuously seek out the foremost talent of the technology community to give you the best result possible.
Job Description:
Candidate Option 1
Recent graduate (Bachelor's or Master's) from any IIM university who is looking to start a career in Data Governance
No work experience required
Candidate Option 2
Candidate with minimum 5 years experience working with leading Indian consulting firm: Cognizant, Accenture, Deloitte, PWC, KPMG
Bachelor's from any Indian university
All Candidates will:
· Be able to work remotely
· Will have the opportunity for Canadian visa sponsorship
Requirements:
Recent graduate from Top IIM university who is looking to start a career in Data Governance OR Candidate with minimum 5 years’ experience working with leading Indian consulting firm: Cognizant, Accenture, Deloitte, PWC, KPMG
Bachelor's in Information Systems, Computer Science, or other related field.
Must be able to work IST night shifts to overlap at least 3 hours with PST company.
Advanced English oral and written skills.
Ability to explain digital concepts and technologies to business leaders, and business concepts to technologists
Outstanding analytical and problem-solving abilities.
Familiarity with business information generation and analysis methods.
Ability to effectively drive business, culture and technology change in a dynamic and complex operating environment.
Familiarity and knowledge of Data Governance concepts and tools is preferred but not mandatory to have
Job Type: Full-time
Schedule:
Night shift
Experience:
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)",Vertex Innovations,81500.0,Annual,China,Suzhou
9,Network Administrator,"looking for ui developer freshers can also apply
Job Summary:
A UI developer in Applicate is responsible for developing interactive UI for mobile based, web based, mobile, and/or desktop platform. The Developer would work closely with Application Developers to build highly efficient, user-friendly, interfaces. The person would evaluate and recommend appropriate usage of Rich-UI components and capabilities to enhance the user experience.

Personal Attributes:

Strong, innovative, and initiative-seeking approach to problem solving and finding solutions
Flexible and proactive/self-motivated working style with strong personal ownership of problem resolution
Strong communication skills with sound articulation and comprehension
Ardent desire to explore and learn emerging interactive technologies
Experience Guidelines:

Experience required 0-2 years
Excellent knowledge of React, Redux, HTML5, CSS3, JavaScript
Knowledge of Object Oriented JavaScript (OOJS), JavaScript libraries and their practical uses in building complex interactive experiences
Knowledge of fluid grids, and building responsive/adaptive websites using Bootstrap etc.
Knowledge of client-side templating languages like Handlebars, Mustache, etc. (Preferred)
Familiarity of working with frontend build systems and automating the same using Grunt / Gulp is a plus
Moderate to Strong graphics manipulation/optimization skills using Photoshop
Education: Full Time Bachelor's / Master's degree (Any field)

Job Types: Full-time,

Experience:

CSS: 0-2 year (Preferred)
javascript: 0-2 year (Preferred)
HTML: 0-2 year (Preferred)
React.JS: 0-2 year (Preferred)

WHATSAPP YOUR CV ON (+9I-72-52-98-32-64 ) HR TEAM",Finora Digital,7958.33,Monthly,Singapore,Singapore
10,Backend Developer,"Bengaluru, Karnataka, India Req #670
Friday, October 16, 2020
Building on our heritage and fueled by innovation, we create immersive media experiences that enrich life. We focus on technologies that enable the future of media, and build teams that are highly customer centric. We need exceptionally talented, bright, and driven people. If you want to be part of a team that works towards continuously raising the bar, this is your chance to make history!

Backend Developer – Job Description

Who We Are

MediaKind is revolutionizing the television and video entertainment experiences

seen by millions of people every single day. We provide end-to-end video

products for our customers, ranging from media platforms video decoding. Our

1600+ employees are based in 29 locations all over the world such as France,

the UK, India, China, Israel, United States and more. We welcome pioneers and

entrepreneurs who want to be heard. Your individual voice will be amplified;

after all, we are media kind of people.

Come join this fun, collaborative and diverse group and work with some of the

most talented people in this industry. You will play a major part in shaping a
ground-breaking

next generation cloud-based TV service, delivering digital entertainment to

TV’s, browsers, tablets and smartphones.

Responsibilities:
Design, build, test, deploy and maintain scalable, highly
available, modular software products in the cloud

Produce excellent quality code in an agile environment
Advocate and deliver on programming best practices and
standards like code reviews, unit and functional testing

Technical Skills, Experience & Soft skills

Very strong coding skills in a high-level programming
language like C#, Java and strong understanding of data structures and
algorithms

Strong knowledge of design patterns and software engineering
best practices

Hands on experience building RESTful web services and strong
understanding of SOA

Experience using NoSQL databases like Cassandra and MongoDB
Experience with relational databases
Experience with Microsoft technologies like C#, Asp.net and Web API
framework is a huge plus

Some scripting experience with shell/python
Highly motivated and a great team player
Excellent communication skills
Bachelor’s degree in computer science or other related field
with 3-6 years of experience

Our Story

Technology is constantly advancing, becoming faster, smarter and

more efficient – uniting billions of people all over the world and allowing us

to consume more media with greater ease, every day. We understand the power of

media and how it is evolving. It runs in our DNA. It’s our passion. With our

pioneering heritage and strong foundations – all fuelled by deep innovation, we

have a single goal in mind: to enable our customers to create and deliver

immersive media experiences.

We are uniquely positioned to help shape and lead the future of global
media

technology. Our award-winning technologies, established industry heritage and

forward-thinking experts equip organizations with the end-to-end technology

solutions needed to embrace media of all kinds. We are opening the eyes of

humankind, enabling people to be involved in inspiring stories, iconic moments,

and world-changing events – on any screen. We are media technology innovators –

imagining the unimaginable and driving the human entertainment experience
forward

for everyone, everywhere.

We are MediaKind

Visit www.mediakind.com for more information

At MediaKind, we celebrate Diversity. We build and thrive on it for the benefit of our employees, customers and extended communities. We are proud to be an equal opportunity workplace and an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If you have a disability or special need that requires accommodation, please let us know.
Other details
Job Function 6P-Professional-Developing Pay Type Salary",SkyFoundry Ventures,121000.0,Annual,Singapore,Singapore
11,Machine Learning,"The Data Scientist is responsible for collecting data and developing insights related to innovative new business initiatives at BrickRed Systems focused on the digital enablement of industrial, and Manufacturing markets. Responsibilities of the Data Scientist include, but not limited to:

Leverage big data to discover patterns and solve strategic & tactical business problems using massive structured and unstructured data sets across multiple environments

· Develop analytic capabilities (e.g. models and processes) that drive better outcomes for both customers and the company

· Drive the collection, cleansing, processing and analysis of new and existing data sources.

· Build, test, and deploy predictive models and/or machine learning algorithms on large static and/or streaming data sets

· Report findings by creating useful and appropriate data outputs and visualizations tailored for the intended audiences

· Learn & stay current on Machine learning and Internet of Things developments, news, opportunities, and challenges

· Generate innovative ideas, establish new research directions, shape and execute the information strategy in support of technical projects and new product developments

Work with and support other team members, management, and partners

Qualifications:

University degree in a relevant field such as Statistics, Physics, Mathematics, Machine Learning or Data Science

· Mandatory experience in industrial/Manufacturing related projects.

· 5+ years experience in related data science, analytics, and model building roles or 10+ years experience in directly related roles

· Extensive experience working with large complex data sets, real time/near real time analytics, and distributed big data platforms (Hadoop & MapReduce and/or Cassandra/Spark)

· Strong practical knowledge of analytical techniques and methodologies such as machine learning/supervised and unsupervised techniques, segmentation, mix and time series modelling, response modelling, lift modelling, experimental design, neural networks, data mining and optimization techniques

· Expert knowledge of analysis tools such as R, Python, MATLAB, Spark or SAS.

· Strong background in applying statistical machine learning techniques to predictive modelling and experience with Machine Learning libraries (via R, H2O, Python, Spark, etc.)

· Proficiency in programming in Python, R, SQL, Javascript, Java/Scala and shell scripting

· Proficiency in consuming REST based API (with JSON payload) is a plus.

· Fluency in big data platforms including Hadoop, MapReduce, Hive, Spark, PIG

· Familiarity with Cloud based HaaS/PaaS solutions such as AWS EMR, MS Azure.

· A strong understanding of data profiling and data cleansing techniques

· Natural curiosity and a strong passion for empirical research and problem solving

· Strong written and verbal communications skills; comfortable communicating with senior levels of both business and technology leadership

Can Do, Customer Centric Attitude.
Tolerant of Ambiguity and Changing Environment.

Self-starter and comfort working in an early-stage environment.",Pioneer Consulting,12458.33,Monthly,Singapore,Singapore
12,Java Developer,"Position Overview

CyberGrants is an ambitious, fast-growing and innovative company that helps our clients achieve Agile Social Impact. We are proud to have hundreds of clients, including over half of the Fortune 100. In the last twelve months alone, we’ve processed over $6.5 billion and more than 50 million volunteer hours. Nearly one-third of all corporate charitable giving is donated via CyberGrants software.

As part of our Technical Services team, you will be working in a highly collaborative environment in an exciting and comfortable atmosphere. You will be responsible for translating client requirements into the design and development of customized systems. You will be immersed in multi-tiered technical solutions integrating front-end, server-side, and database code.

By joining CyberGrants, take your technical potential together with your passion for good and go home every night knowing the work you’ve done has positively impacted millions of people around the world!

Apprenticeships or part-time may be considered.

Key Responsibilities
Support technical development of new client implementations and enhancements to existing client programs integrating front-end, server-side, and database code
Resolve technical issues related to custom and standard CyberGrants software offering
Design and develop internal support software to improve productivity, quality and speed of delivery
Demonstrate a strong ability to learn quickly and research new technology or skills as needed
Participate openly and constructively in code peer review and other quality control activities
Interpret business requirements and formulate developer and test strategies
Demonstrate a strong ability to be flexible and think out-of-the-box
Work effectively individually and as part of a multi-discipline team


Requirements
Programming experience in one or more current programming languages, Python preferred.
Experience with Relational Database(s) and related query languages (MySQL, MS SQL Server, Oracle SQL, Other) .
Experience with Test Driven Development (Unit Testing Frameworks).
Ability to effectively communicate and deliver technical information to business users and all stakeholders.
Strong attention to detail and a passion for quality, client happiness and continuous learning.
Preferred Qualifications
Object Oriented Server Side Language(s) (PHP, Java, .NET, PLSQL, Other)
Web Services (RESTful API integration)
JavaScript
Contemporary Source Control Systems (GIT)
Agile / Scrum methodologies
Continuous Integration and Continuous Deployment (CI/CD)
Tools and Methods (JIRA, Git, Wrike, Axure)
DevOps
Experience working with dispersed development and business teams.
Education
Bachelor's degree (B. A. / B. S.) in technical field from four-year college or university.
Completed coding boot-camp or comparable work experience.",Pioneer Digital,5333.33,Monthly,Singapore,Singapore
13,iOS Developer,"We are looking for skilled mobile app developers to design, develop and deploy Mobile Apps working the different Android versions. We are also keen about developing apps using cross platform development tools. The nature of our apps development require working with Offline Storage, Threading, Performance Tuning and Restful Web Services

• Knowledge Of Android SDK, Different Android Versions

• Experience In Offline Storage, Threading, And Performance Tuning
• Experience In Consuming Restful Web Services Using Retrofit
• Knowledge In Javascript
• Experience / Knowledge In Hybrid App Development Is An Advantage (React Native/Flutter)

Job Type: Full-time

Industry:
Software Development",Zenith Software,64000.0,Annual,China,Hangzhou
14,Django Developer,"urgent requirement for ""Â Python Django "" in one of the leading company.

1.Â Python Django at Ahmedabad.

Job Location: Ahmedabad.

1. Qualification: Graduate

2. Experience: 1-5 years

3. CTC: As per your current CTC

Please send your updated resumeÂ

1.00-5.00 Years",NexaBridge Software,101500.0,Annual,Singapore,Singapore
